"X.1","X","council","site","beachbugs","beach_id","region","longitude","latitude","date","day","month","year","logbeachbugs","beachbugsdiff","buggier_all","buggier_site"
11,11,"Randwick Council","Clovelly Beach",6,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/04/2013",2,4,2013,1.79175946922805,4.20824053077195,FALSE,FALSE
12,12,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/04/2013",12,4,2013,-Inf,Inf,FALSE,FALSE
13,13,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/04/2013",18,4,2013,0,1,FALSE,FALSE
14,14,"Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/04/2013",24,4,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
15,15,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"01/05/2013",1,5,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
16,16,"Randwick Council","Clovelly Beach",5,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"20/05/2013",20,5,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
17,17,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"31/05/2013",31,5,2013,-Inf,Inf,FALSE,FALSE
18,18,"Randwick Council","Clovelly Beach",8,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/06/2013",6,6,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
19,19,"Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/06/2013",12,6,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
20,20,"Randwick Council","Clovelly Beach",35,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/06/2013",24,6,2013,3.55534806148941,31.4446519385106,TRUE,TRUE
21,21,"Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/07/2013",6,7,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
22,22,"Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"18/07/2013",18,7,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
23,23,"Randwick Council","Clovelly Beach",57,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/07/2013",24,7,2013,4.04305126783455,52.9569487321655,TRUE,TRUE
24,24,"Randwick Council","Clovelly Beach",39,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"08/08/2013",8,8,2013,3.66356164612965,35.3364383538704,TRUE,TRUE
25,25,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"22/08/2013",22,8,2013,-Inf,Inf,FALSE,FALSE
26,26,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"29/08/2013",29,8,2013,-Inf,Inf,FALSE,FALSE
27,27,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/01/2013",24,1,2013,-Inf,Inf,FALSE,FALSE
28,28,"Randwick Council","Clovelly Beach",9,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"17/02/2013",17,2,2013,2.19722457733622,6.80277542266378,FALSE,FALSE
29,29,"Randwick Council","Clovelly Beach",20,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"01/03/2013",1,3,2013,2.99573227355399,17.004267726446,FALSE,TRUE
30,30,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/03/2013",13,3,2013,-Inf,Inf,FALSE,FALSE
31,31,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"19/03/2013",19,3,2013,-Inf,Inf,FALSE,FALSE
32,32,"Randwick Council","Clovelly Beach",28,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/04/2013",6,4,2013,3.3322045101752,24.6677954898248,FALSE,TRUE
33,33,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/05/2013",7,5,2013,-Inf,Inf,FALSE,FALSE
34,34,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"14/05/2013",14,5,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
35,35,"Randwick Council","Clovelly Beach",9,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"25/05/2013",25,5,2013,2.19722457733622,6.80277542266378,FALSE,FALSE
36,36,"Randwick Council","Clovelly Beach",15,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"17/06/2013",17,6,2013,2.70805020110221,12.2919497988978,FALSE,TRUE
37,37,"Randwick Council","Clovelly Beach",50,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/06/2013",30,6,2013,3.91202300542815,46.0879769945719,TRUE,TRUE
38,38,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/07/2013",12,7,2013,0,1,FALSE,FALSE
39,39,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/07/2013",30,7,2013,0,1,FALSE,FALSE
40,40,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"14/08/2013",14,8,2013,-Inf,Inf,FALSE,FALSE
41,41,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"16/08/2013",16,8,2013,-Inf,Inf,FALSE,FALSE
42,42,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/09/2013",2,9,2013,-Inf,Inf,FALSE,FALSE
43,43,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"28/09/2013",28,9,2013,-Inf,Inf,FALSE,FALSE
44,44,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"04/10/2013",4,10,2013,-Inf,Inf,FALSE,FALSE
45,45,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/10/2013",12,10,2013,0,1,FALSE,FALSE
46,46,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"28/10/2013",28,10,2013,0,1,FALSE,FALSE
47,47,"Randwick Council","Clovelly Beach",6,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"05/11/2013",5,11,2013,1.79175946922805,4.20824053077195,FALSE,FALSE
48,48,"Randwick Council","Clovelly Beach",34,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"29/11/2013",29,11,2013,3.52636052461616,30.4736394753838,TRUE,TRUE
49,49,"Randwick Council","Clovelly Beach",5,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/12/2013",7,12,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
50,50,"Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"10/09/2013",10,9,2013,-Inf,Inf,FALSE,FALSE
51,51,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"16/09/2013",16,9,2013,0,1,FALSE,FALSE
52,52,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"22/09/2013",22,9,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
53,53,"Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"20/10/2013",20,10,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
54,54,"Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/11/2013",13,11,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
55,55,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"21/11/2013",21,11,2013,0,1,FALSE,FALSE
56,56,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"23/12/2013",23,12,2013,0,1,FALSE,FALSE
57,57,"Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/12/2013",13,12,2013,0,1,FALSE,FALSE
58,58,"Randwick Council","Clovelly Beach",12,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"31/12/2013",31,12,2013,2.484906649788,9.515093350212,FALSE,TRUE
59,59,"Randwick Council","Coogee Beach",11,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"31/12/2013",31,12,2013,2.39789527279837,8.60210472720163,FALSE,FALSE
60,60,"Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/12/2013",13,12,2013,-Inf,Inf,FALSE,FALSE
61,61,"Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"23/12/2013",23,12,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
62,62,"Randwick Council","Coogee Beach",30,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"21/11/2013",21,11,2013,3.40119738166216,26.5988026183378,FALSE,FALSE
63,63,"Randwick Council","Coogee Beach",8,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/11/2013",13,11,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
64,64,"Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"20/10/2013",20,10,2013,-Inf,Inf,FALSE,FALSE
65,65,"Randwick Council","Coogee Beach",18,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"04/10/2013",4,10,2013,2.89037175789616,15.1096282421038,FALSE,FALSE
66,66,"Randwick Council","Coogee Beach",290,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"16/09/2013",16,9,2013,5.66988092298052,284.33011907702,TRUE,TRUE
67,67,"Randwick Council","Coogee Beach",3,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/12/2013",7,12,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
68,68,"Randwick Council","Coogee Beach",5,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"29/11/2013",29,11,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
69,69,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"05/11/2013",5,11,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
70,70,"Randwick Council","Coogee Beach",94,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"28/10/2013",28,10,2013,4.54329478227,89.45670521773,TRUE,TRUE
71,71,"Randwick Council","Coogee Beach",3,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/10/2013",12,10,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
72,72,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"28/09/2013",28,9,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
73,73,"Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"22/09/2013",22,9,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
74,74,"Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/09/2013",2,9,2013,-Inf,Inf,FALSE,FALSE
75,75,"Randwick Council","Coogee Beach",26,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"10/09/2013",10,9,2013,3.25809653802148,22.7419034619785,FALSE,FALSE
76,76,"Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"16/08/2013",16,8,2013,-Inf,Inf,FALSE,FALSE
77,77,"Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"14/08/2013",14,8,2013,-Inf,Inf,FALSE,FALSE
78,78,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"22/08/2013",22,8,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
79,79,"Randwick Council","Coogee Beach",34,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"08/08/2013",8,8,2013,3.52636052461616,30.4736394753838,TRUE,FALSE
80,80,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/07/2013",12,7,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
81,81,"Randwick Council","Coogee Beach",20,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/07/2013",24,7,2013,2.99573227355399,17.004267726446,FALSE,FALSE
82,82,"Randwick Council","Coogee Beach",270,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/06/2013",30,6,2013,5.59842195899838,264.401578041002,TRUE,TRUE
83,83,"Randwick Council","Coogee Beach",35,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"17/06/2013",17,6,2013,3.55534806148941,31.4446519385106,TRUE,FALSE
84,84,"Randwick Council","Coogee Beach",17,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"25/05/2013",25,5,2013,2.83321334405622,14.1667866559438,FALSE,FALSE
85,85,"Randwick Council","Coogee Beach",6,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"31/05/2013",31,5,2013,1.79175946922805,4.20824053077195,FALSE,FALSE
86,86,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/05/2013",7,5,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
87,87,"Randwick Council","Coogee Beach",7,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"01/05/2013",1,5,2013,1.94591014905531,5.05408985094469,FALSE,FALSE
88,88,"Randwick Council","Coogee Beach",10,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/04/2013",24,4,2013,2.30258509299405,7.69741490700595,FALSE,FALSE
89,89,"Randwick Council","Coogee Beach",15,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/04/2013",18,4,2013,2.70805020110221,12.2919497988978,FALSE,FALSE
90,90,"Randwick Council","Coogee Beach",16,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/04/2013",12,4,2013,2.77258872223978,13.2274112777602,FALSE,FALSE
91,91,"Randwick Council","Coogee Beach",82,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"25/03/2013",25,3,2013,4.40671924726425,77.5932807527358,TRUE,TRUE
92,92,"Randwick Council","Coogee Beach",7,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/04/2013",2,4,2013,1.94591014905531,5.05408985094469,FALSE,FALSE
93,93,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"19/03/2013",19,3,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
94,94,"Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/03/2013",13,3,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
95,95,"Randwick Council","Coogee Beach",110,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"01/03/2013",1,3,2013,4.70048036579242,105.299519634208,TRUE,TRUE
96,96,"Randwick Council","Coogee Beach",11,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/03/2013",7,3,2013,2.39789527279837,8.60210472720163,FALSE,FALSE
97,97,"Randwick Council","Coogee Beach",30,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"17/02/2013",17,2,2013,3.40119738166216,26.5988026183378,FALSE,FALSE
98,98,"Randwick Council","Coogee Beach",630,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"23/02/2013",23,2,2013,6.44571981938558,623.554280180614,TRUE,TRUE
99,99,"Randwick Council","Coogee Beach",22,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/01/2013",30,1,2013,3.09104245335832,18.9089575466417,FALSE,FALSE
100,100,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"05/02/2013",5,2,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
101,101,"Randwick Council","Coogee Beach",48,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/01/2013",24,1,2013,3.87120101090789,44.1287989890921,TRUE,TRUE
102,102,"Randwick Council","Coogee Beach",17,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/01/2013",12,1,2013,2.83321334405622,14.1667866559438,FALSE,FALSE
103,103,"Randwick Council","Coogee Beach",1,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"29/08/2013",29,8,2013,0,1,FALSE,FALSE
104,104,"Randwick Council","Coogee Beach",1,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/07/2013",30,7,2013,0,1,FALSE,FALSE
105,105,"Randwick Council","Coogee Beach",9,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/07/2013",18,7,2013,2.19722457733622,6.80277542266378,FALSE,FALSE
106,106,"Randwick Council","Coogee Beach",5,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/07/2013",6,7,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
107,107,"Randwick Council","Coogee Beach",84,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/06/2013",24,6,2013,4.43081679884331,79.5691832011567,TRUE,TRUE
108,108,"Randwick Council","Coogee Beach",84,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/06/2013",12,6,2013,4.43081679884331,79.5691832011567,TRUE,TRUE
109,109,"Randwick Council","Coogee Beach",8,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/06/2013",6,6,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
110,110,"Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"20/05/2013",20,5,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
111,111,"Randwick Council","Coogee Beach",10,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"14/05/2013",14,5,2013,2.30258509299405,7.69741490700595,FALSE,FALSE
112,112,"Randwick Council","Coogee Beach",49,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/04/2013",6,4,2013,3.89182029811063,45.1081797018894,TRUE,TRUE
113,113,"Randwick Council","Coogee Beach",110,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"11/02/2013",11,2,2013,4.70048036579242,105.299519634208,TRUE,TRUE
114,114,"Randwick Council","Coogee Beach",18,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/01/2013",18,1,2013,2.89037175789616,15.1096282421038,FALSE,FALSE
115,115,"Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/01/2013",6,1,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
116,116,"Randwick Council","Coogee Beach",15,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/01/2013",2,1,2013,2.70805020110221,12.2919497988978,FALSE,FALSE
117,117,"Randwick Council","Gordons Bay (East)",56,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"19/03/2013",19,3,2013,4.02535169073515,51.9746483092649,TRUE,TRUE
118,118,"Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"25/03/2013",25,3,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
119,119,"Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"18/04/2013",18,4,2013,0,1,FALSE,FALSE
120,120,"Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"20/05/2013",20,5,2013,0,1,FALSE,FALSE
121,121,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/06/2013",6,6,2013,-Inf,Inf,FALSE,FALSE
122,122,"Randwick Council","Gordons Bay (East)",660,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/06/2013",12,6,2013,6.49223983502047,653.50776016498,TRUE,TRUE
123,123,"Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"31/05/2013",31,5,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
124,124,"Randwick Council","Gordons Bay (East)",41,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/06/2013",24,6,2013,3.71357206670431,37.2864279332957,TRUE,TRUE
125,125,"Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"18/07/2013",18,7,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
126,126,"Randwick Council","Gordons Bay (East)",43,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/07/2013",24,7,2013,3.76120011569356,39.2387998843064,TRUE,TRUE
127,127,"Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"22/08/2013",22,8,2013,1.38629436111989,2.61370563888011,FALSE,FALSE
128,128,"Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"29/08/2013",29,8,2013,0,1,FALSE,FALSE
129,129,"Randwick Council","Gordons Bay (East)",13,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"08/08/2013",8,8,2013,2.56494935746154,10.4350506425385,FALSE,FALSE
130,130,"Randwick Council","Gordons Bay (East)",27,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/04/2013",6,4,2013,3.29583686600433,23.7041631339957,FALSE,TRUE
131,131,"Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"02/04/2013",2,4,2013,0,1,FALSE,FALSE
132,132,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/04/2013",12,4,2013,-Inf,Inf,FALSE,FALSE
133,133,"Randwick Council","Gordons Bay (East)",13,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/04/2013",24,4,2013,2.56494935746154,10.4350506425385,FALSE,FALSE
134,134,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"01/05/2013",1,5,2013,-Inf,Inf,FALSE,FALSE
135,135,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"07/05/2013",7,5,2013,-Inf,Inf,FALSE,FALSE
136,136,"Randwick Council","Gordons Bay (East)",5,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"14/05/2013",14,5,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
137,137,"Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"25/05/2013",25,5,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
138,138,"Randwick Council","Gordons Bay (East)",42,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"30/06/2013",30,6,2013,3.73766961828337,38.2623303817166,TRUE,TRUE
139,139,"Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/07/2013",6,7,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
140,140,"Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/07/2013",12,7,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
141,141,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"30/07/2013",30,7,2013,-Inf,Inf,FALSE,FALSE
142,142,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"14/08/2013",14,8,2013,-Inf,Inf,FALSE,FALSE
143,143,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"16/08/2013",16,8,2013,-Inf,Inf,FALSE,FALSE
144,144,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"02/09/2013",2,9,2013,-Inf,Inf,FALSE,FALSE
145,145,"Randwick Council","Gordons Bay (East)",5,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"16/09/2013",16,9,2013,1.6094379124341,3.3905620875659,FALSE,FALSE
146,146,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"04/10/2013",4,10,2013,-Inf,Inf,FALSE,FALSE
147,147,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"28/09/2013",28,9,2013,-Inf,Inf,FALSE,FALSE
148,148,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/10/2013",12,10,2013,-Inf,Inf,FALSE,FALSE
149,149,"Randwick Council","Gordons Bay (East)",3,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"28/10/2013",28,10,2013,1.09861228866811,1.90138771133189,FALSE,FALSE
150,150,"Randwick Council","Gordons Bay (East)",12,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"21/11/2013",21,11,2013,2.484906649788,9.515093350212,FALSE,FALSE
151,151,"Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"05/11/2013",5,11,2013,2.07944154167984,5.92055845832016,FALSE,FALSE
152,152,"Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"13/11/2013",13,11,2013,0.693147180559945,1.30685281944005,FALSE,FALSE
153,153,"Randwick Council","Gordons Bay (East)",46,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"29/11/2013",29,11,2013,3.8286413964891,42.1713586035109,TRUE,TRUE
154,154,"Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"13/12/2013",13,12,2013,-Inf,Inf,FALSE,FALSE
