"","council","site","beachbugs","beach_id","region","longitude","latitude","date"
"24","Randwick Council","Clovelly Beach",39,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"08/08/2013"
"25","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"22/08/2013"
"26","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"29/08/2013"
"27","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"24/01/2013"
"28","Randwick Council","Clovelly Beach",9,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"17/02/2013"
"29","Randwick Council","Clovelly Beach",20,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"01/03/2013"
"30","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/03/2013"
"31","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"19/03/2013"
"32","Randwick Council","Clovelly Beach",28,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"06/04/2013"
"33","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/05/2013"
"34","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"14/05/2013"
"35","Randwick Council","Clovelly Beach",9,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"25/05/2013"
"36","Randwick Council","Clovelly Beach",15,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"17/06/2013"
"37","Randwick Council","Clovelly Beach",50,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/06/2013"
"38","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/07/2013"
"39","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"30/07/2013"
"40","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"14/08/2013"
"41","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"16/08/2013"
"42","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"02/09/2013"
"43","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"28/09/2013"
"44","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"04/10/2013"
"45","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"12/10/2013"
"46","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"28/10/2013"
"47","Randwick Council","Clovelly Beach",6,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"05/11/2013"
"48","Randwick Council","Clovelly Beach",34,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"29/11/2013"
"49","Randwick Council","Clovelly Beach",5,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"07/12/2013"
"50","Randwick Council","Clovelly Beach",0,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"10/09/2013"
"51","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"16/09/2013"
"52","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"22/09/2013"
"53","Randwick Council","Clovelly Beach",3,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"20/10/2013"
"54","Randwick Council","Clovelly Beach",2,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/11/2013"
"55","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"21/11/2013"
"56","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"23/12/2013"
"57","Randwick Council","Clovelly Beach",1,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"13/12/2013"
"58","Randwick Council","Clovelly Beach",12,25,"Sydney City Ocean Beaches",151.267505,-33.914486,"31/12/2013"
"59","Randwick Council","Coogee Beach",11,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"31/12/2013"
"60","Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/12/2013"
"61","Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"23/12/2013"
"62","Randwick Council","Coogee Beach",30,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"21/11/2013"
"63","Randwick Council","Coogee Beach",8,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/11/2013"
"64","Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"20/10/2013"
"65","Randwick Council","Coogee Beach",18,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"04/10/2013"
"66","Randwick Council","Coogee Beach",290,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"16/09/2013"
"67","Randwick Council","Coogee Beach",3,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/12/2013"
"68","Randwick Council","Coogee Beach",5,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"29/11/2013"
"69","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"05/11/2013"
"70","Randwick Council","Coogee Beach",94,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"28/10/2013"
"71","Randwick Council","Coogee Beach",3,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/10/2013"
"72","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"28/09/2013"
"73","Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"22/09/2013"
"74","Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/09/2013"
"75","Randwick Council","Coogee Beach",26,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"10/09/2013"
"76","Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"16/08/2013"
"77","Randwick Council","Coogee Beach",0,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"14/08/2013"
"78","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"22/08/2013"
"79","Randwick Council","Coogee Beach",34,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"08/08/2013"
"80","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/07/2013"
"81","Randwick Council","Coogee Beach",20,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/07/2013"
"82","Randwick Council","Coogee Beach",270,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/06/2013"
"83","Randwick Council","Coogee Beach",35,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"17/06/2013"
"84","Randwick Council","Coogee Beach",17,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"25/05/2013"
"85","Randwick Council","Coogee Beach",6,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"31/05/2013"
"86","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/05/2013"
"87","Randwick Council","Coogee Beach",7,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"01/05/2013"
"88","Randwick Council","Coogee Beach",10,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/04/2013"
"89","Randwick Council","Coogee Beach",15,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/04/2013"
"90","Randwick Council","Coogee Beach",16,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/04/2013"
"91","Randwick Council","Coogee Beach",82,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"25/03/2013"
"92","Randwick Council","Coogee Beach",7,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/04/2013"
"93","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"19/03/2013"
"94","Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"13/03/2013"
"95","Randwick Council","Coogee Beach",110,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"01/03/2013"
"96","Randwick Council","Coogee Beach",11,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"07/03/2013"
"97","Randwick Council","Coogee Beach",30,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"17/02/2013"
"98","Randwick Council","Coogee Beach",630,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"23/02/2013"
"99","Randwick Council","Coogee Beach",22,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/01/2013"
"100","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"05/02/2013"
"101","Randwick Council","Coogee Beach",48,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/01/2013"
"102","Randwick Council","Coogee Beach",17,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/01/2013"
"103","Randwick Council","Coogee Beach",1,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"29/08/2013"
"104","Randwick Council","Coogee Beach",1,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"30/07/2013"
"105","Randwick Council","Coogee Beach",9,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/07/2013"
"106","Randwick Council","Coogee Beach",5,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/07/2013"
"107","Randwick Council","Coogee Beach",84,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"24/06/2013"
"108","Randwick Council","Coogee Beach",84,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"12/06/2013"
"109","Randwick Council","Coogee Beach",8,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/06/2013"
"110","Randwick Council","Coogee Beach",2,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"20/05/2013"
"111","Randwick Council","Coogee Beach",10,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"14/05/2013"
"112","Randwick Council","Coogee Beach",49,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/04/2013"
"113","Randwick Council","Coogee Beach",110,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"11/02/2013"
"114","Randwick Council","Coogee Beach",18,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"18/01/2013"
"115","Randwick Council","Coogee Beach",4,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"06/01/2013"
"116","Randwick Council","Coogee Beach",15,26,"Sydney City Ocean Beaches",151.25817,-33.92076,"02/01/2013"
"117","Randwick Council","Gordons Bay (East)",56,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"19/03/2013"
"118","Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"25/03/2013"
"119","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"18/04/2013"
"120","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"20/05/2013"
"121","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/06/2013"
"122","Randwick Council","Gordons Bay (East)",660,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/06/2013"
"123","Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"31/05/2013"
"124","Randwick Council","Gordons Bay (East)",41,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/06/2013"
"125","Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"18/07/2013"
"126","Randwick Council","Gordons Bay (East)",43,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/07/2013"
"127","Randwick Council","Gordons Bay (East)",4,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"22/08/2013"
"128","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"29/08/2013"
"129","Randwick Council","Gordons Bay (East)",13,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"08/08/2013"
"130","Randwick Council","Gordons Bay (East)",27,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/04/2013"
"131","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"02/04/2013"
"132","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/04/2013"
"133","Randwick Council","Gordons Bay (East)",13,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"24/04/2013"
"134","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"01/05/2013"
"135","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"07/05/2013"
"136","Randwick Council","Gordons Bay (East)",5,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"14/05/2013"
"137","Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"25/05/2013"
"138","Randwick Council","Gordons Bay (East)",42,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"30/06/2013"
"139","Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"06/07/2013"
"140","Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/07/2013"
"141","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"30/07/2013"
"142","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"14/08/2013"
"143","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"16/08/2013"
"144","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"02/09/2013"
"145","Randwick Council","Gordons Bay (East)",5,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"16/09/2013"
"146","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"04/10/2013"
"147","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"28/09/2013"
"148","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"12/10/2013"
"149","Randwick Council","Gordons Bay (East)",3,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"28/10/2013"
"150","Randwick Council","Gordons Bay (East)",12,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"21/11/2013"
"151","Randwick Council","Gordons Bay (East)",8,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"05/11/2013"
"152","Randwick Council","Gordons Bay (East)",2,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"13/11/2013"
"153","Randwick Council","Gordons Bay (East)",46,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"29/11/2013"
"154","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"13/12/2013"
"155","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"10/09/2013"
"156","Randwick Council","Gordons Bay (East)",5,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"22/09/2013"
"157","Randwick Council","Gordons Bay (East)",3,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"20/10/2013"
"158","Randwick Council","Gordons Bay (East)",0,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"23/12/2013"
"159","Randwick Council","Gordons Bay (East)",68,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"31/12/2013"
"160","Randwick Council","Gordons Bay (East)",1,25.9,"Sydney City Ocean Beaches",151.264558,-33.915646,"07/12/2013"
"161","Randwick Council","Little Bay Beach",420,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"31/12/2013"
"162","Randwick Council","Little Bay Beach",3,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"23/12/2013"
"163","Randwick Council","Little Bay Beach",9,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"07/12/2013"
"164","Randwick Council","Little Bay Beach",3,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"20/10/2013"
"165","Randwick Council","Little Bay Beach",25,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"13/12/2013"
"166","Randwick Council","Little Bay Beach",8,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"22/09/2013"
"167","Randwick Council","Little Bay Beach",9,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"29/11/2013"
"168","Randwick Council","Little Bay Beach",2,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"10/09/2013"
"169","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"02/09/2013"
"170","Randwick Council","Little Bay Beach",8,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"13/11/2013"
"171","Randwick Council","Little Bay Beach",34,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"05/11/2013"
"172","Randwick Council","Little Bay Beach",26,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"21/11/2013"
"173","Randwick Council","Little Bay Beach",33,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"28/10/2013"
"174","Randwick Council","Little Bay Beach",2,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"12/10/2013"
"175","Randwick Council","Little Bay Beach",11,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"04/10/2013"
"176","Randwick Council","Little Bay Beach",5,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"28/09/2013"
"177","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"16/09/2013"
"178","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"29/08/2013"
"179","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"30/07/2013"
"180","Randwick Council","Little Bay Beach",2,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"18/07/2013"
"181","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"06/07/2013"
"182","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"12/06/2013"
"183","Randwick Council","Little Bay Beach",59,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"24/06/2013"
"184","Randwick Council","Little Bay Beach",6,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"06/06/2013"
"185","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"20/05/2013"
"186","Randwick Council","Little Bay Beach",4,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"01/05/2013"
"187","Randwick Council","Little Bay Beach",4,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"14/05/2013"
"188","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"07/05/2013"
"189","Randwick Council","Little Bay Beach",4,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"24/04/2013"
"190","Randwick Council","Little Bay Beach",10,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"06/04/2013"
"191","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"19/03/2013"
"192","Randwick Council","Little Bay Beach",160,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"17/02/2013"
"193","Randwick Council","Little Bay Beach",56,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"01/03/2013"
"194","Randwick Council","Little Bay Beach",5,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"13/03/2013"
"195","Randwick Council","Little Bay Beach",45,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"24/01/2013"
"196","Randwick Council","Little Bay Beach",7,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"08/08/2013"
"197","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"14/08/2013"
"198","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"16/08/2013"
"199","Randwick Council","Little Bay Beach",27,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"22/08/2013"
"200","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"24/07/2013"
"201","Randwick Council","Little Bay Beach",9,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"12/07/2013"
"202","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"17/06/2013"
"203","Randwick Council","Little Bay Beach",4900,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"30/06/2013"
"204","Randwick Council","Little Bay Beach",2,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"31/05/2013"
"205","Randwick Council","Little Bay Beach",9,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"25/05/2013"
"206","Randwick Council","Little Bay Beach",0,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"18/04/2013"
"207","Randwick Council","Little Bay Beach",20,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"12/04/2013"
"208","Randwick Council","Little Bay Beach",420,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"25/03/2013"
"209","Randwick Council","Little Bay Beach",50,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"02/04/2013"
"210","Randwick Council","Little Bay Beach",31,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"07/03/2013"
"211","Randwick Council","Little Bay Beach",330,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"23/02/2013"
"212","Randwick Council","Little Bay Beach",150,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"11/02/2013"
"213","Randwick Council","Little Bay Beach",9,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"02/01/2013"
"214","Randwick Council","Little Bay Beach",3,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"06/01/2013"
"215","Randwick Council","Little Bay Beach",1,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"18/01/2013"
"216","Randwick Council","Little Bay Beach",72,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"12/01/2013"
"217","Randwick Council","Little Bay Beach",44,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"30/01/2013"
"218","Randwick Council","Little Bay Beach",7,29,"Sydney City Ocean Beaches",151.25149,-33.98012,"05/02/2013"
"219","Randwick Council","Malabar Beach",13,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"05/02/2013"
"220","Randwick Council","Malabar Beach",13,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"30/01/2013"
"221","Randwick Council","Malabar Beach",390,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"12/01/2013"
"222","Randwick Council","Malabar Beach",15,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"18/01/2013"
"223","Randwick Council","Malabar Beach",2,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"02/01/2013"
"224","Randwick Council","Malabar Beach",23,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"17/02/2013"
"225","Randwick Council","Malabar Beach",390,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"23/02/2013"
"226","Randwick Council","Malabar Beach",6,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"07/03/2013"
"227","Randwick Council","Malabar Beach",28,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"25/03/2013"
"228","Randwick Council","Malabar Beach",12,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"02/04/2013"
"229","Randwick Council","Malabar Beach",8,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"12/04/2013"
"230","Randwick Council","Malabar Beach",3,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"18/04/2013"
"231","Randwick Council","Malabar Beach",6,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"24/04/2013"
"232","Randwick Council","Malabar Beach",40,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"14/05/2013"
"233","Randwick Council","Malabar Beach",50,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"25/05/2013"
"234","Randwick Council","Malabar Beach",32,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"01/05/2013"
"235","Randwick Council","Malabar Beach",2500,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"30/06/2013"
"236","Randwick Council","Malabar Beach",40,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"17/06/2013"
"237","Randwick Council","Malabar Beach",2,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"12/07/2013"
"238","Randwick Council","Malabar Beach",11,28,"Sydney City Ocean Beaches",151.252247,-33.96436,"30/07/2013"
